,BBC,CBS,CNN,FoxNews,nytimes
0,0.4404,0.7974,-0.4404,0.0,-0.6124
1,0.4404,0.0,-0.25,0.0,0.0258
2,-0.91,0.8588,0.0,0.9224,0.4588
3,0.0,0.8087,-0.6249,0.25,-0.6124
4,-0.3182,0.8126,0.3612,-0.128,0.0
5,0.3182,0.7269,0.0,-0.2263,-0.4588
6,0.0,0.0,0.3612,-0.2023,0.0
7,0.3612,0.6166,0.0,0.0,0.2023
8,-0.4019,0.6421,0.4215,0.0,-0.3182
9,0.5574,0.4389,0.0,-0.4588,-0.6597
10,0.0,0.7845,0.34,0.0772,-0.3818
11,0.0,0.9396,0.0,-0.5116,-0.5423
12,0.5719,0.6688,0.0,0.2716,0.0
13,0.0,0.6476,-0.0516,0.0,0.0
14,0.0,0.0,-0.2263,0.5106,0.4215
15,0.0,0.5719,-0.1027,0.4939,-0.4939
16,0.3612,0.6696,0.0,0.0,-0.4588
17,0.0,0.3182,-0.4767,0.4019,0.0
18,0.0,0.4215,0.0,0.4939,0.0
19,0.6369,0.7239,0.0,0.5719,0.0
20,0.4404,0.7974,-0.4404,0.0,-0.6124
21,0.4404,0.0,-0.25,0.0,0.0258
22,-0.91,0.8588,0.0,0.9224,0.4588
23,0.0,0.8087,-0.6249,0.25,-0.6124
24,-0.3182,0.8126,0.3612,-0.128,0.0
25,0.3182,0.7269,0.0,-0.2263,-0.4588
26,0.0,0.0,0.3612,-0.2023,0.0
27,0.3612,0.6166,0.0,0.0,0.2023
28,-0.4019,0.6421,0.4215,0.0,-0.3182
29,0.5574,0.4389,0.0,-0.4588,-0.6597
30,0.0,0.7845,0.34,0.0772,-0.3818
31,0.0,0.9396,0.0,-0.5116,-0.5423
32,0.5719,0.6688,0.0,0.2716,0.0
33,0.0,0.6476,-0.0516,0.0,0.0
34,0.0,0.0,-0.2263,0.5106,0.4215
35,0.0,0.5719,-0.1027,0.4939,-0.4939
36,0.3612,0.6696,0.0,0.0,-0.4588
37,0.0,0.3182,-0.4767,0.4019,0.0
38,0.0,0.4215,0.0,0.4939,0.0
39,0.6369,0.7239,0.0,0.5719,0.0
40,0.1531,0.7883,0.4404,0.0,0.0
41,0.0258,0.8268,-0.9062,-0.5423,0.4927
42,0.0,0.2732,0.0,-0.8519,0.4215
43,0.0,0.0,0.0,-0.9231,0.0
44,0.7964,0.8268,-0.0516,-0.0258,0.4215
45,0.0,0.9072,0.0,-0.3832,-0.6249
46,0.7964,0.0,-0.34,-0.0222,0.4019
47,0.5719,0.0,0.0,0.6908,0.0
48,0.8074,0.4574,-0.7184,0.1045,-0.34
49,0.0772,0.4199,0.0,-0.7063,-0.3818
50,0.6369,0.8176,0.0,-0.0772,-0.3818
51,0.6696,0.0,0.0,0.5994,-0.0018
52,-0.128,0.5983,0.681,-0.5267,0.5556
53,0.0,0.6514,-0.1027,0.1027,0.4588
54,0.4939,0.4767,0.0,-0.3612,0.0
55,0.3612,-0.1027,0.0,0.0,0.2732
56,0.0,0.0,0.0,0.0,0.0
57,0.5267,0.0,0.4707,0.1027,0.0
58,0.0,0.3182,0.6597,0.1779,0.1779
59,-0.2359,0.0,0.0,-0.5204,0.0
60,0.0,0.0,0.0,0.0,-0.6705
61,-0.4019,0.0,0.4939,-0.4767,0.4404
62,0.0,0.5423,-0.5994,0.399,0.0
63,-0.6908,0.3595,0.3612,-0.6908,-0.296
64,0.25,0.8126,0.0,0.4404,0.2732
65,0.0,-0.5859,0.0,-0.802,-0.1027
66,-0.34,0.0114,-0.2732,0.0,0.0
67,0.0,0.0,0.2023,-0.7096,-0.1027
68,0.0772,0.0,0.8126,-0.4364,-0.5267
69,0.7227,-0.1531,-0.3182,0.0,-0.2263
70,0.0,0.7096,-0.4767,-0.8225,0.0
71,0.0,0.0516,0.0,0.0,0.0
72,0.0,0.0,-0.2263,-0.5204,0.5994
73,0.1027,0.7906,-0.7003,-0.6808,0.5106
74,-0.347,0.8885,0.0,0.4404,0.8555
75,0.7096,-0.4007,-0.6808,-0.6486,-0.0516
76,0.0,0.0,0.0,0.0,0.0
77,0.5859,0.1935,-0.5574,-0.6908,0.0
78,0.7983,0.8016,-0.8625,-0.7351,0.0
79,0.4939,0.0,-0.0844,-0.743,-0.128
80,0.0867,0.0,0.0,0.0,0.5719
81,0.8313,0.9355,-0.6486,-0.4019,0.4215
82,0.5974,0.6696,0.0,0.3612,-0.4404
83,0.6114,0.6705,0.0,0.5256,0.0
84,0.0,0.8625,0.0,0.128,0.0772
85,0.0,-0.2263,-0.5719,-0.2263,-0.5994
86,0.0,0.0,-0.4939,-0.6486,-0.8979
87,0.0,0.0,-0.6705,0.0,0.34
88,0.0,0.893,-0.1027,0.4371,0.0
89,0.0,0.8356,-0.2732,0.0,0.34
90,-0.0258,0.0,0.4576,-0.8225,-0.7906
91,-0.1655,0.6114,-0.3182,-0.4767,-0.296
92,0.6476,0.784,-0.2732,-0.4939,-0.6369
93,0.7783,0.0,0.6369,0.0,0.4588
94,0.8625,0.0,-0.5719,-0.8225,0.0
95,-0.2023,0.784,-0.4767,0.0,-0.4767
96,0.3818,0.7712,0.0,-0.4364,-0.5423
97,0.0,0.1511,0.0,-0.6908,0.0
98,-0.0258,0.1867,-0.34,-0.6908,-0.6597
99,0.5859,-0.1501,-0.5994,-0.4404,0.5213
